comment,cleaning,normalisasi,tokenize,stopword
Gw pke metode sma tpi bedanya gw baren2 kerjain tugas kalau ada yg gak tau saling bantu2,gw pke metode sma tpi bedanya gw baren kerjain tugas kalau ada yg gak tau saling bantu,gue pakai metode sama tapi bedanya gue baren kerjain tugas kalau ada yang tidak tau saling bantu,"['gue', 'pakai', 'metode', 'sama', 'tapi', 'bedanya', 'gue', 'baren', 'kerjain', 'tugas', 'kalau', 'ada', 'yang', 'tidak', 'tau', 'saling', 'bantu']",gue pakai metode bedanya gue baren kerjain tugas tau bantu
"betul kata teman saya jawir dan aris anly, katanya seperti berikut ; ikut tes cpns saja;",betul kata teman saya jawir dan aris anly katanya seperti berikut ikut tes cpns saja,betul kata teman saya jawir dan aris anly katanya seperti berikut ikut tes cpns saja,"['betul', 'kata', 'teman', 'saya', 'jawir', 'dan', 'aris', 'anly', 'katanya', 'seperti', 'berikut', 'ikut', 'tes', 'cpns', 'saja']",teman jawir aris anly tes cpns
"Konten paling bermanfaat, untung aja gw ketemu saat Semester 1, Jadi ada gambaran ke depannya...Buat teman-teman yang udah di semester 2 ke atas, ada nasihat atau apa nggak ,buat saya yang skrg masih semester 1 otw semester 2?",konten paling bermanfaat untung aja gw ketemu saat semester jadi ada gambaran ke depannya buat teman teman yang udah di semester ke atas ada nasihat atau apa nggak buat saya yang skrg masih semester otw semester,konten paling bermanfaat untung saja gue ketemu saat semester jadi ada gambaran ke depannya buat teman teman yang sudah di semester ke atas ada nasihat atau apa tidak buat saya yang sekarang masih semester otw semester,"['konten', 'paling', 'bermanfaat', 'untung', 'saja', 'gue', 'ketemu', 'saat', 'semester', 'jadi', 'ada', 'gambaran', 'ke', 'depannya', 'buat', 'teman', 'teman', 'yang', 'sudah', 'di', 'semester', 'ke', 'atas', 'ada', 'nasihat', 'atau', 'apa', 'tidak', 'buat', 'saya', 'yang', 'sekarang', 'masih', 'semester', 'otw', 'semester']",konten bermanfaat untung gue ketemu semester gambaran depannya teman teman semester nasihat semester otw semester
jurusan IT yang lu ambil apaan bang?,jurusan it yang lu ambil apaan bang,jurusan yang kamu ambil apaan abang,"['jurusan', 'yang', 'kamu', 'ambil', 'apaan', 'abang']",jurusan ambil abang
@bangjago5342  Teknik Informatika bang,teknik informatika bang,teknik informatika abang,"['teknik', 'informatika', 'abang']",teknik informatika abang
"Waahh bagus sekali ini video untuk adik2 yg sedang prepare mau kuliah khususnya jurusan IT , btw sy mau tanya nih utk kakak2 semua yg sudah kuliah IT , saat ini putra bungsu saya sekolah SMK kelas 3 jurusan rekayasa perangkat lunak , alhamdulillah bbrp bulan lalu di tahun 2024 ini mengikuti lomba webtechnologies mewakili jatim juara 2 ditingkat nasional   tapi ,sedang bimbang menentukan akan melanjutkan ke Jurusan IT di ITS atau Pens ?? Mohon infonya dong utk kakak2 yg phm tentang hal ini .. makasih sbmnya ..🙏🙏🙏<br>Fyi, Saat ini kami tinggal di SBY ..",waahh bagus sekali ini video untuk adik yg sedang prepare mau kuliah khususnya jurusan it btw sy mau tanya nih utk kakak semua yg sudah kuliah it saat ini putra bungsu saya sekolah smk kelas jurusan rekayasa perangkat lunak alhamdulillah bbrp bulan lalu di tahun ini mengikuti lomba webtechnologies mewakili jatim juara ditingkat nasional tapi sedang bimbang menentukan akan melanjutkan ke jurusan it di its atau pens mohon infonya dong utk kakak yg phm tentang hal ini makasih sbmnya fyi saat ini kami tinggal di sby,waahh bagus sekali ini video untuk adik yang sedang prepare mau kuliah khususnya jurusan btw saya mau tanya nih untuk kakak semua yang sudah kuliah saat ini putra bungsu saya sekolah kelas jurusan rekayasa perangkat lunak alhamdulillah beberapa bulan lalu di tahun ini mengikuti lomba webtechnologies mewakili jatim juara ditingkat nasional tapi sedang bimbang menentukan akan melanjutkan ke jurusan di its atau pens mohon infonya dong untuk kakak yang phm tentang hal ini sbmnya fyi saat ini kami tinggal di surabaya,"['waahh', 'bagus', 'sekali', 'ini', 'video', 'untuk', 'adik', 'yang', 'sedang', 'prepare', 'mau', 'kuliah', 'khususnya', 'jurusan', 'btw', 'saya', 'mau', 'tanya', 'nih', 'untuk', 'kakak', 'semua', 'yang', 'sudah', 'kuliah', 'saat', 'ini', 'putra', 'bungsu', 'saya', 'sekolah', 'kelas', 'jurusan', 'rekayasa', 'perangkat', 'lunak', 'alhamdulillah', 'beberapa', 'bulan', 'lalu', 'di', 'tahun', 'ini', 'mengikuti', 'lomba', 'webtechnologies', 'mewakili', 'jatim', 'juara', 'ditingkat', 'nasional', 'tapi', 'sedang', 'bimbang', 'menentukan', 'akan', 'melanjutkan', 'ke', 'jurusan', 'di', 'its', 'atau', 'pens', 'mohon', 'infonya', 'dong', 'untuk', 'kakak', 'yang', 'phm', 'tentang', 'hal', 'ini', 'sbmnya', 'fyi', 'saat', 'ini', 'kami', 'tinggal', 'di', 'surabaya']",waahh bagus video adik prepare kuliah jurusan btw nih kakak kuliah putra bungsu sekolah kelas jurusan rekayasa perangkat lunak alhamdulillah mengikuti lomba webtechnologies mewakili jatim juara ditingkat nasional bimbang menentukan melanjutkan jurusan its pens mohon infonya kakak phm sbmnya fyi tinggal surabaya
Apakah tamatan smk bisa kuliah di jurusan IT kh..??,apakah tamatan smk bisa kuliah di jurusan it kh,apakah tamatan bisa kuliah di jurusan kah,"['apakah', 'tamatan', 'bisa', 'kuliah', 'di', 'jurusan', 'kah']",tamatan kuliah jurusan kah
Bang saya mau nanya ni<br>kalau udah terlanjur masuk TI dan<br>masih mahasiswa baru <br>kalau nga mampu atau merasa salah jurusan lalu Brenti di awal <br>menurut Bang gimana,bang saya mau nanya ni kalau udah terlanjur masuk ti dan masih mahasiswa baru kalau nga mampu atau merasa salah jurusan lalu brenti di awal menurut bang gimana,abang saya mau bertanya nih kalau sudah terlanjur masuk ti dan masih mahasiswa baru kalau tidak mampu atau merasa salah jurusan lalu brenti di awal menurut abang bagaimana,"['abang', 'saya', 'mau', 'bertanya', 'nih', 'kalau', 'sudah', 'terlanjur', 'masuk', 'ti', 'dan', 'masih', 'mahasiswa', 'baru', 'kalau', 'tidak', 'mampu', 'atau', 'merasa', 'salah', 'jurusan', 'lalu', 'brenti', 'di', 'awal', 'menurut', 'abang', 'bagaimana']",abang nih terlanjur masuk ti mahasiswa salah jurusan brenti abang
realitanya  juga sama saya bro salam Hormat tätap semangat,realitanya juga sama saya bro salam hormat t tap semangat,realitanya juga sama saya bro salam hormat t tap semangat,"['realitanya', 'juga', 'sama', 'saya', 'bro', 'salam', 'hormat', 't', 'tap', 'semangat']",realitanya bro salam hormat t tap semangat
"keren isinya sangat bermanfaat banget mas..semoga jadi amal jariyah..aamiin, terimakasih",keren isinya sangat bermanfaat banget mas semoga jadi amal jariyah aamiin terimakasih,keren isinya sangat bermanfaat banget mas semoga jadi amal jariyah amin terimakasih,"['keren', 'isinya', 'sangat', 'bermanfaat', 'banget', 'mas', 'semoga', 'jadi', 'amal', 'jariyah', 'amin', 'terimakasih']",keren isinya bermanfaat banget mas semoga amal jariyah amin terimakasih
"Saya baru masuk Sistem informasi pak, dan sudah punya tujuan saya ingin punya profesi apa, semoga saya bisa lulus cepat dan dapat pekerjaan yang sesuai impian saya",saya baru masuk sistem informasi pak dan sudah punya tujuan saya ingin punya profesi apa semoga saya bisa lulus cepat dan dapat pekerjaan yang sesuai impian saya,saya baru masuk sistem informasi pak dan sudah punya tujuan saya ingin punya profesi apa semoga saya bisa lulus cepat dan dapat pekerjaan yang sesuai impian saya,"['saya', 'baru', 'masuk', 'sistem', 'informasi', 'pak', 'dan', 'sudah', 'punya', 'tujuan', 'saya', 'ingin', 'punya', 'profesi', 'apa', 'semoga', 'saya', 'bisa', 'lulus', 'cepat', 'dan', 'dapat', 'pekerjaan', 'yang', 'sesuai', 'impian', 'saya']",masuk sistem informasi tujuan profesi semoga lulus cepat pekerjaan sesuai impian
mau tanyaa abang; kalo di IT sendirii ituu yang paling berpengaruh Akreditasi kampusnya atauu Skill dan portofolio ya?..<br>kebetulan sayaa baru ajaa masuk IT di kampus akreditasi B dan baru ajaa belajar ngoding sebulan dan mungkin bisaa kasi tips; jugaa metode belajar yang efektif bagi abang; yang udah berpengalaman..<br>samaa adaa rekomendasi komunitas IT ndaa yaa..?sayaa mauu gabung jugaa soal nyaa..😓🙏,mau tanyaa abang kalo di it sendirii ituu yang paling berpengaruh akreditasi kampusnya atauu skill dan portofolio ya kebetulan sayaa baru ajaa masuk it di kampus akreditasi b dan baru ajaa belajar ngoding sebulan dan mungkin bisaa kasi tips jugaa metode belajar yang efektif bagi abang yang udah berpengalaman samaa adaa rekomendasi komunitas it ndaa yaa sayaa mauu gabung jugaa soal nyaa,mau tanyaa abang kalau di sendiri itu yang paling berpengaruh akreditasi kampusnya atauu skill dan portofolio ya kebetulan saya baru saja masuk di kampus akreditasi b dan baru saja belajar coding sebulan dan mungkin bisa kasih tips juga metode belajar yang efektif bagi abang yang sudah berpengalaman sama ada rekomendasi komunitas ndaa ya saya mau gabung juga soal nya,"['mau', 'tanyaa', 'abang', 'kalau', 'di', 'sendiri', 'itu', 'yang', 'paling', 'berpengaruh', 'akreditasi', 'kampusnya', 'atauu', 'skill', 'dan', 'portofolio', 'ya', 'kebetulan', 'saya', 'baru', 'saja', 'masuk', 'di', 'kampus', 'akreditasi', 'b', 'dan', 'baru', 'saja', 'belajar', 'coding', 'sebulan', 'dan', 'mungkin', 'bisa', 'kasih', 'tips', 'juga', 'metode', 'belajar', 'yang', 'efektif', 'bagi', 'abang', 'yang', 'sudah', 'berpengalaman', 'sama', 'ada', 'rekomendasi', 'komunitas', 'ndaa', 'ya', 'saya', 'mau', 'gabung', 'juga', 'soal', 'nya']",tanyaa abang berpengaruh akreditasi kampusnya atauu skill portofolio ya masuk kampus akreditasi b belajar coding sebulan kasih tips metode belajar efektif abang berpengalaman rekomendasi komunitas ndaa ya gabung nya
Kenapa gk jadi data analyst atau kerjaan yg lebih terfokus aja bang?,kenapa gk jadi data analyst atau kerjaan yg lebih terfokus aja bang,kenapa tidak jadi data analyst atau pekerjaan yang lebih terfokus saja abang,"['kenapa', 'tidak', 'jadi', 'data', 'analyst', 'atau', 'pekerjaan', 'yang', 'lebih', 'terfokus', 'saja', 'abang']",data analyst pekerjaan terfokus abang
"Saran gw kalian mending perbanyak sertifikasi, coba pakai Bisa AI, Rakamin buat magang, Dicoding buat pemrograman, ama DQLab buat Data Science",saran gw kalian mending perbanyak sertifikasi coba pakai bisa ai rakamin buat magang dicoding buat pemrograman ama dqlab buat data science,saran gue kalian mending perbanyak sertifikasi coba pakai bisa artificialintelligence rakamin buat magang dicoding buat pemrograman sama dqlab buat data science,"['saran', 'gue', 'kalian', 'mending', 'perbanyak', 'sertifikasi', 'coba', 'pakai', 'bisa', 'artificialintelligence', 'rakamin', 'buat', 'magang', 'dicoding', 'buat', 'pemrograman', 'sama', 'dqlab', 'buat', 'data', 'science']",saran gue mending perbanyak sertifikasi coba pakai artificialintelligence rakamin magang dicoding pemrograman dqlab data science
ada yang punya saran ga kalo mau jadi data scientist itu apa aja yang harus dipersiapkan untuk pemula,ada yang punya saran ga kalo mau jadi data scientist itu apa aja yang harus dipersiapkan untuk pemula,ada yang punya saran tidak kalau mau jadi data scientist itu apa saja yang harus dipersiapkan untuk pemula,"['ada', 'yang', 'punya', 'saran', 'tidak', 'kalau', 'mau', 'jadi', 'data', 'scientist', 'itu', 'apa', 'saja', 'yang', 'harus', 'dipersiapkan', 'untuk', 'pemula']",saran data scientist dipersiapkan pemula
"Lomba dan organisasi mah gapenting, yang penting magang kerja magang kerja, saya tahun 1 yang lain sibuk mikirin ;aduhh Kating fakultas sebelah cantik/ganteng banget ya; saya udh bikin cv ATS friendly dan alhamdulilah setelah susah payah tahun kedua saya bekerja dibagian admin warehouse dan sempat di promosikan menjadi PIC satu perusahaan bidang logistik yaitu TIKI, tahun ketiga sembari mencari kesibukan saya mencari peluang magang sembari karena saat itu sedang boomingnya game online mobile legends akhirnya saya mempromosikan web top up untuk beberapa orang alhasil saya mengerjakan banyak project dengan ambil API web top up tsb, sembari mencari peluang magang dan kebetulan juga saya magang di satu bank swasta underdog dari indonesia. Saya magang disana sebagai Backend developer namun jobdesk saya melebihi seorang backend developer karena terkadang di masukan ke divisi security dan cloud engineering. Ya singkat cerita saya lulus telat sekali semester 10 saya baru lulus alasannya kenapa? Sesimpel manfaatkan waktu masih jadi mahasiswa, saya ambil semua borong semua magang dan kerja remote, btw karena Covid dulu mudah ya kerja sembari magang karena serba remote. Ya saat lulus pun saya menyesal karena benefit seorang mahasiswa yang di bungkus dengan kata kata ;polos; pun berakhir karena CV saya ramai pengalaman + sudah dihitung fresh graduate juga. Duhh intinya saran saya kuliah jurusan it jangan tertipu cepat lulus nikmatin aja dulu benefitnya jadi mahasiswa HRD mau hire mahasiswa partime/fulltime/magang karena mereka pikir bisa di tipu daya padahal mah pinter pinternya kita aja. Dan satu lagi lebih baik kalian mencari bidang yang sulit sekalian seperti saya sekarang masih berkutat di cloud service dan cybersecurity bukannya meremehkan karena developer developer sekarang itu mudah dicari bahkan dari sastra inggris pun sampai teknik Geofisika sudah ada yang jadi developer web/mobile ya pengalaman anak buah saya ada yang lulusan teknik Geofisika bekerja sebagai IT, dan kalau bisa juga sih coba membangun bisnis asli it Indonesia itu jago jago namun mereka kekurangan sumber daya, mau beli Cpanel/VPs dimana lagi? Mau ga mau beli dari luar asli, mending kalian coba bisnis mirip mirip begitu karena banyak yang nyari apalagi harganya miring sekarang harga harga hosting dalam negeri yang profesional bisa sampai full authority bisa sampai di angka 50k perbulan lumayan kan😂",lomba dan organisasi mah gapenting yang penting magang kerja magang kerja saya tahun yang lain sibuk mikirin aduhh kating fakultas sebelah cantik ganteng banget ya saya udh bikin cv ats friendly dan alhamdulilah setelah susah payah tahun kedua saya bekerja dibagian admin warehouse dan sempat di promosikan menjadi pic satu perusahaan bidang logistik yaitu tiki tahun ketiga sembari mencari kesibukan saya mencari peluang magang sembari karena saat itu sedang boomingnya game online mobile legends akhirnya saya mempromosikan web top up untuk beberapa orang alhasil saya mengerjakan banyak project dengan ambil api web top up tsb sembari mencari peluang magang dan kebetulan juga saya magang di satu bank swasta underdog dari indonesia saya magang disana sebagai backend developer namun jobdesk saya melebihi seorang backend developer karena terkadang di masukan ke divisi security dan cloud engineering ya singkat cerita saya lulus telat sekali semester saya baru lulus alasannya kenapa sesimpel manfaatkan waktu masih jadi mahasiswa saya ambil semua borong semua magang dan kerja remote btw karena covid dulu mudah ya kerja sembari magang karena serba remote ya saat lulus pun saya menyesal karena benefit seorang mahasiswa yang di bungkus dengan kata kata polos pun berakhir karena cv saya ramai pengalaman sudah dihitung fresh graduate juga duhh intinya saran saya kuliah jurusan it jangan tertipu cepat lulus nikmatin aja dulu benefitnya jadi mahasiswa hrd mau hire mahasiswa partime fulltime magang karena mereka pikir bisa di tipu daya padahal mah pinter pinternya kita aja dan satu lagi lebih baik kalian mencari bidang yang sulit sekalian seperti saya sekarang masih berkutat di cloud service dan cybersecurity bukannya meremehkan karena developer developer sekarang itu mudah dicari bahkan dari sastra inggris pun sampai teknik geofisika sudah ada yang jadi developer web mobile ya pengalaman anak buah saya ada yang lulusan teknik geofisika bekerja sebagai it dan kalau bisa juga sih coba membangun bisnis asli it indonesia itu jago jago namun mereka kekurangan sumber daya mau beli cpanel vps dimana lagi mau ga mau beli dari luar asli mending kalian coba bisnis mirip mirip begitu karena banyak yang nyari apalagi harganya miring sekarang harga harga hosting dalam negeri yang profesional bisa sampai full authority bisa sampai di angka k perbulan lumayan kan,lomba dan organisasi mah gapenting yang penting magang kerja magang kerja saya tahun yang lain sibuk memikirkan aduh kating fakultas sebelah cantik ganteng banget ya saya sudah bikin cv atas friendly dan alhamdulilah setelah susah payah tahun kedua saya bekerja dibagian admin warehouse dan sempat di promosikan menjadi pic satu perusahaan bidang logistik yaitu tiki tahun ketiga sembari mencari kesibukan saya mencari peluang magang sembari karena saat itu sedang boomingnya game online mobile legends akhirnya saya mempromosikan web top up untuk beberapa orang alhasil saya mengerjakan banyak project dengan ambil api web top up tersebut sembari mencari peluang magang dan kebetulan juga saya magang di satu bank swasta underdog dari indonesia saya magang disana sebagai backend developer namun jobdesk saya melebihi seorang backend developer karena terkadang di masukan ke divisi security dan cloud engineering ya singkat cerita saya lulus telat sekali semester saya baru lulus alasannya kenapa sesimpel manfaatkan waktu masih jadi mahasiswa saya ambil semua borong semua magang dan kerja remote btw karena covid dulu mudah ya kerja sembari magang karena serba remote ya saat lulus pun saya menyesal karena benefit seorang mahasiswa yang di bungkus dengan kata kata polos pun berakhir karena cv saya ramai pengalaman sudah dihitung fresh graduate juga duh intinya saran saya kuliah jurusan jangan tertipu cepat lulus menikmati saja dulu benefitnya jadi mahasiswa hrd mau hire mahasiswa partime fulltime magang karena mereka pikir bisa di tipu daya padahal mah pintar pinternya kita saja dan satu lagi lebih baik kalian mencari bidang yang sulit sekalian seperti saya sekarang masih berkutat di cloud service dan cybersecurity bukannya meremehkan karena developer developer sekarang itu mudah dicari bahkan dari sastra inggris pun sampai teknik geofisika sudah ada yang jadi developer web mobile ya pengalaman anak buah saya ada yang lulusan teknik geofisika bekerja sebagai dan kalau bisa juga sih coba membangun bisnis asli indonesia itu jago jago namun mereka kekurangan sumber daya mau beli cpanel vps dimana lagi mau tidak mau beli dari luar asli mending kalian coba bisnis mirip mirip begitu karena banyak yang mencari apalagi harganya miring sekarang harga harga hosting dalam negeri yang profesional bisa sampai full authority bisa sampai di angka ke perbulan lumayan kan,"['lomba', 'dan', 'organisasi', 'mah', 'gapenting', 'yang', 'penting', 'magang', 'kerja', 'magang', 'kerja', 'saya', 'tahun', 'yang', 'lain', 'sibuk', 'memikirkan', 'aduh', 'kating', 'fakultas', 'sebelah', 'cantik', 'ganteng', 'banget', 'ya', 'saya', 'sudah', 'bikin', 'cv', 'atas', 'friendly', 'dan', 'alhamdulilah', 'setelah', 'susah', 'payah', 'tahun', 'kedua', 'saya', 'bekerja', 'dibagian', 'admin', 'warehouse', 'dan', 'sempat', 'di', 'promosikan', 'menjadi', 'pic', 'satu', 'perusahaan', 'bidang', 'logistik', 'yaitu', 'tiki', 'tahun', 'ketiga', 'sembari', 'mencari', 'kesibukan', 'saya', 'mencari', 'peluang', 'magang', 'sembari', 'karena', 'saat', 'itu', 'sedang', 'boomingnya', 'game', 'online', 'mobile', 'legends', 'akhirnya', 'saya', 'mempromosikan', 'web', 'top', 'up', 'untuk', 'beberapa', 'orang', 'alhasil', 'saya', 'mengerjakan', 'banyak', 'project', 'dengan', 'ambil', 'api', 'web', 'top', 'up', 'tersebut', 'sembari', 'mencari', 'peluang', 'magang', 'dan', 'kebetulan', 'juga', 'saya', 'magang', 'di', 'satu', 'bank', 'swasta', 'underdog', 'dari', 'indonesia', 'saya', 'magang', 'disana', 'sebagai', 'backend', 'developer', 'namun', 'jobdesk', 'saya', 'melebihi', 'seorang', 'backend', 'developer', 'karena', 'terkadang', 'di', 'masukan', 'ke', 'divisi', 'security', 'dan', 'cloud', 'engineering', 'ya', 'singkat', 'cerita', 'saya', 'lulus', 'telat', 'sekali', 'semester', 'saya', 'baru', 'lulus', 'alasannya', 'kenapa', 'sesimpel', 'manfaatkan', 'waktu', 'masih', 'jadi', 'mahasiswa', 'saya', 'ambil', 'semua', 'borong', 'semua', 'magang', 'dan', 'kerja', 'remote', 'btw', 'karena', 'covid', 'dulu', 'mudah', 'ya', 'kerja', 'sembari', 'magang', 'karena', 'serba', 'remote', 'ya', 'saat', 'lulus', 'pun', 'saya', 'menyesal', 'karena', 'benefit', 'seorang', 'mahasiswa', 'yang', 'di', 'bungkus', 'dengan', 'kata', 'kata', 'polos', 'pun', 'berakhir', 'karena', 'cv', 'saya', 'ramai', 'pengalaman', 'sudah', 'dihitung', 'fresh', 'graduate', 'juga', 'duh', 'intinya', 'saran', 'saya', 'kuliah', 'jurusan', 'jangan', 'tertipu', 'cepat', 'lulus', 'menikmati', 'saja', 'dulu', 'benefitnya', 'jadi', 'mahasiswa', 'hrd', 'mau', 'hire', 'mahasiswa', 'partime', 'fulltime', 'magang', 'karena', 'mereka', 'pikir', 'bisa', 'di', 'tipu', 'daya', 'padahal', 'mah', 'pintar', 'pinternya', 'kita', 'saja', 'dan', 'satu', 'lagi', 'lebih', 'baik', 'kalian', 'mencari', 'bidang', 'yang', 'sulit', 'sekalian', 'seperti', 'saya', 'sekarang', 'masih', 'berkutat', 'di', 'cloud', 'service', 'dan', 'cybersecurity', 'bukannya', 'meremehkan', 'karena', 'developer', 'developer', 'sekarang', 'itu', 'mudah', 'dicari', 'bahkan', 'dari', 'sastra', 'inggris', 'pun', 'sampai', 'teknik', 'geofisika', 'sudah', 'ada', 'yang', 'jadi', 'developer', 'web', 'mobile', 'ya', 'pengalaman', 'anak', 'buah', 'saya', 'ada', 'yang', 'lulusan', 'teknik', 'geofisika', 'bekerja', 'sebagai', 'dan', 'kalau', 'bisa', 'juga', 'sih', 'coba', 'membangun', 'bisnis', 'asli', 'indonesia', 'itu', 'jago', 'jago', 'namun', 'mereka', 'kekurangan', 'sumber', 'daya', 'mau', 'beli', 'cpanel', 'vps', 'dimana', 'lagi', 'mau', 'tidak', 'mau', 'beli', 'dari', 'luar', 'asli', 'mending', 'kalian', 'coba', 'bisnis', 'mirip', 'mirip', 'begitu', 'karena', 'banyak', 'yang', 'mencari', 'apalagi', 'harganya', 'miring', 'sekarang', 'harga', 'harga', 'hosting', 'dalam', 'negeri', 'yang', 'profesional', 'bisa', 'sampai', 'full', 'authority', 'bisa', 'sampai', 'di', 'angka', 'ke', 'perbulan', 'lumayan', 'kan']",lomba organisasi mah gapenting magang kerja magang kerja sibuk memikirkan aduh kating fakultas sebelah cantik ganteng banget ya bikin cv friendly alhamdulilah susah payah dibagian admin warehouse promosikan pic perusahaan bidang logistik tiki ketiga sembari mencari kesibukan mencari peluang magang sembari boomingnya game online mobile legends mempromosikan web top up orang alhasil project ambil api web top up sembari mencari peluang magang magang bank swasta underdog indonesia magang disana backend developer jobdesk melebihi backend developer terkadang masukan divisi security cloud engineering ya singkat cerita lulus telat semester lulus alasannya sesimpel manfaatkan mahasiswa ambil borong magang kerja remote btw covid mudah ya kerja sembari magang serba remote ya lulus menyesal benefit mahasiswa bungkus polos cv ramai pengalaman dihitung fresh graduate duh intinya saran kuliah jurusan tertipu cepat lulus menikmati benefitnya mahasiswa hrd hire mahasiswa partime fulltime magang pikir tipu daya mah pintar pinternya mencari bidang sulit berkutat cloud service cybersecurity meremehkan developer developer mudah dicari sastra inggris teknik geofisika developer web mobile ya pengalaman anak buah lulusan teknik geofisika sih coba membangun bisnis asli indonesia jago jago kekurangan sumber daya beli cpanel vps dimana beli asli mending coba bisnis mencari harganya miring harga harga hosting negeri profesional full authority angka perbulan lumayan
